file_name	sentence_count	tok_count	word_count	split_type
CamelTB_WikiNews_art_1	10	161	139	dev
CamelTB_WikiNews_art_2	6	105	90	dev
CamelTB_WikiNews_art_3	13	235	205	dev
CamelTB_WikiNews_art_4	19	410	356	dev
CamelTB_WikiNews_art_5	15	240	206	dev
CamelTB_WikiNews_art_6	13	190	161	dev
CamelTB_WikiNews_art_7	10	179	151	dev
CamelTB_WikiNews_art_8	13	209	176	dev
CamelTB_WikiNews_art_9	27	662	552	dev
CamelTB_WikiNews_art_10	33	647	555	dev
CamelTB_WikiNews_culture_1	6	80	64	train
CamelTB_WikiNews_culture_2	38	943	773	train
CamelTB_WikiNews_culture_3	19	308	264	train
CamelTB_WikiNews_culture_4	10	271	230	train
CamelTB_WikiNews_culture_5	12	274	235	train
CamelTB_WikiNews_culture_6	6	157	134	train
CamelTB_WikiNews_culture_7	16	308	256	train
CamelTB_WikiNews_culture_8	17	401	337	train
CamelTB_WikiNews_culture_9	21	574	472	train
CamelTB_WikiNews_culture_10	20	399	323	train
CamelTB_WikiNews_economy_1	12	345	303	train
CamelTB_WikiNews_economy_2	16	321	282	train
CamelTB_WikiNews_economy_3	24	556	467	train
CamelTB_WikiNews_economy_4	16	278	237	train
CamelTB_WikiNews_economy_5	9	263	230	train
CamelTB_WikiNews_economy_6	12	264	237	train
CamelTB_WikiNews_economy_7	12	330	277	train
CamelTB_WikiNews_economy_8	7	185	170	train
CamelTB_WikiNews_economy_9	8	128	113	train
CamelTB_WikiNews_economy_10	19	280	251	train
CamelTB_WikiNews_health_1	11	198	172	train
CamelTB_WikiNews_health_2	24	655	567	train
CamelTB_WikiNews_health_3	16	344	297	train
CamelTB_WikiNews_health_4	12	170	150	train
CamelTB_WikiNews_health_5	13	307	253	train
CamelTB_WikiNews_health_6	7	124	110	train
CamelTB_WikiNews_health_7	12	210	185	train
CamelTB_WikiNews_health_8	9	190	172	train
CamelTB_WikiNews_health_9	9	180	144	train
CamelTB_WikiNews_health_10	9	161	144	train
CamelTB_WikiNews_politics_1	5	106	91	train
CamelTB_WikiNews_politics_2	14	226	188	train
CamelTB_WikiNews_politics_3	16	338	292	train
CamelTB_WikiNews_politics_4	28	653	574	train
CamelTB_WikiNews_politics_5	13	277	244	train
CamelTB_WikiNews_politics_6	30	612	517	train
CamelTB_WikiNews_politics_7	17	430	355	train
CamelTB_WikiNews_politics_8	10	181	150	train
CamelTB_WikiNews_politics_9	4	113	97	train
CamelTB_WikiNews_politics_10	11	225	197	train
CamelTB_WikiNews_science_1	27	641	546	train
CamelTB_WikiNews_science_2	14	338	293	train
CamelTB_WikiNews_science_3	19	454	402	train
CamelTB_WikiNews_science_4	10	203	174	train
CamelTB_WikiNews_science_5	25	582	491	train
CamelTB_WikiNews_science_6	8	161	136	train
CamelTB_WikiNews_science_7	22	474	384	train
CamelTB_WikiNews_science_8	13	396	339	test
CamelTB_WikiNews_science_9	14	268	232	test
CamelTB_WikiNews_science_10	14	265	217	test
CamelTB_WikiNews_sports_1	7	182	161	test
CamelTB_WikiNews_sports_2	13	218	181	test
CamelTB_WikiNews_sports_3	11	205	158	test
CamelTB_WikiNews_sports_4	7	225	196	test
CamelTB_WikiNews_sports_5	7	204	180	test
CamelTB_WikiNews_sports_6	10	185	155	test
CamelTB_WikiNews_sports_7	9	233	201	test
CamelTB_WikiNews_sports_8	9	188	157	test
CamelTB_WikiNews_sports_9	10	201	171	test
CamelTB_WikiNews_sports_10	18	456	397	test
